time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
2020.0000 -0.0847 0.0102 -0.1118 2.6824 2.6608 2.6026
2030.0000 -0.2394 -0.1282 -0.1776 2.8290 2.7945 2.6705
2040.0000 -0.1356 0.0593 -0.0289 2.8772 2.8578 2.7465
2050.0000 -0.0857 -0.1503 -0.0361 2.6960 2.8466 2.8001
2060.0000 -0.2235 -0.1415 0.0427 2.7071 2.7025 2.7886
2070.0000 -0.0099 -0.1558 -0.0271 2.7559 2.7779 2.6396
2080.0000 -0.1778 -0.1088 0.0357 2.8208 2.6442 2.7771
2090.0000 -0.0778 -0.1881 -0.0835 3.0715 2.6921 2.7483
2100.0000 0.0339 -0.0880 -0.0544 2.8661 2.5872 2.8913
2110.0000 -0.0538 -0.0580 -0.0851 2.8102 2.8008 2.8384
2120.0000 0.0154 -0.0412 -0.1155 2.8206 2.6944 2.7254
2130.0000 -0.1404 -0.0894 -0.1892 2.8407 2.6679 2.6984
2140.0000 -0.0386 -0.1130 -0.0165 2.8369 2.6886 2.7632
2150.0000 0.0186 0.0427 -0.0483 2.7762 2.6978 2.6389
2160.0000 -0.0515 -0.0342 0.0650 2.7551 2.8226 2.5959
2170.0000 -0.0320 -0.0000 0.0767 2.6095 2.7045 2.7523
2180.0000 0.0493 -0.0761 -0.0901 2.6699 2.7692 2.8470
2190.0000 0.2333 -0.0865 -0.1018 2.7701 2.7903 2.8728
2200.0000 -0.1467 -0.1058 -0.0347 2.7269 2.6796 2.6214
2210.0000 0.0138 -0.1740 -0.0982 2.9171 2.9871 3.0228
2220.0000 0.0909 -0.1448 0.0019 2.7415 2.7450 2.7459
2230.0000 -0.0135 -0.0388 0.1360 2.7193 2.8294 2.7310
2240.0000 0.0139 -0.0918 0.0560 2.7623 2.8404 2.8429
2250.0000 0.1022 -0.1216 -0.0422 2.5650 2.7558 2.7718
2260.0000 0.0938 -0.1227 0.0076 2.8985 2.9807 2.8024
2270.0000 -0.0858 0.0260 0.0171 2.6668 2.6325 2.6263
2280.0000 0.0837 -0.0748 0.0876 2.8687 2.9049 2.7681
2290.0000 0.0667 -0.0299 0.0309 2.7389 2.7452 2.7000
2300.0000 -0.0074 0.1620 -0.0402 2.7602 2.8444 2.5325
2310.0000 -0.0238 0.2344 -0.1639 2.7861 2.6797 2.7342
2320.0000 0.0154 0.1786 -0.0498 2.6393 2.8218 2.4702
2330.0000 -0.1115 0.0622 -0.1595 2.7807 2.7350 2.7581
