time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
1280.0000 -0.0807 -0.1486 0.0420 2.8124 2.8572 2.7125
1290.0000 -0.1702 -0.0719 0.0310 2.6852 2.6787 2.5698
1300.0000 -0.1243 -0.2234 -0.1261 2.7283 2.7342 2.7250
1310.0000 -0.0986 -0.2455 0.0933 2.5106 2.6611 2.7740
1320.0000 0.0626 -0.1266 0.0677 2.6209 2.7113 2.6433
1330.0000 -0.2256 -0.0973 0.1189 2.7377 2.9154 2.7718
1340.0000 -0.0925 -0.2240 0.0634 2.7062 2.8742 2.8745
1350.0000 -0.1669 -0.1755 -0.0120 2.6668 2.8208 2.6903
1360.0000 -0.1391 -0.2134 0.1291 2.7132 2.8038 2.6553
1370.0000 -0.0340 -0.1937 -0.1566 2.7153 2.9494 2.7990
1380.0000 -0.1012 -0.0336 0.0692 2.8113 3.0776 2.8977
1390.0000 -0.1814 -0.1977 0.0530 2.6691 2.6757 2.6765
1400.0000 -0.0692 -0.0906 0.0583 2.8253 2.7046 2.5778
1410.0000 -0.2217 -0.2377 -0.0049 2.8354 3.0059 2.6569
1420.0000 -0.1579 -0.1724 -0.0017 2.7301 2.7448 2.5294
1430.0000 -0.1208 -0.1622 -0.0567 2.9331 2.8120 2.5764
1440.0000 -0.2065 -0.1125 -0.0678 2.7736 2.9512 2.7059
1450.0000 -0.1488 -0.1319 0.0696 2.7854 2.8333 2.5575
1460.0000 -0.1930 -0.2164 -0.0194 2.8293 3.0122 2.6530
1470.0000 -0.1534 -0.1612 -0.0209 2.6290 2.9019 2.7585
1480.0000 -0.2470 -0.2306 -0.1645 2.7695 2.7896 2.8282
1490.0000 -0.0252 -0.1497 0.0282 2.7580 2.8669 2.8075
1500.0000 -0.0224 -0.1950 -0.0410 2.8580 2.8476 2.9869
1510.0000 -0.1426 -0.2689 -0.0674 2.8042 2.7954 2.7711
1520.0000 0.0282 -0.2339 0.0222 2.5524 2.7455 2.7222
1530.0000 -0.0121 -0.2245 -0.0612 2.6917 2.7241 2.8951
1540.0000 -0.0303 -0.1206 -0.0613 2.6776 2.6812 2.7157
1550.0000 -0.0325 -0.1878 -0.0638 2.5824 2.9606 2.7609
1560.0000 -0.0554 -0.1746 -0.0386 2.8705 2.9078 2.7469
1570.0000 -0.0531 -0.1622 -0.1510 2.7581 2.8109 2.6800
1580.0000 -0.0980 -0.1122 -0.1136 2.7470 2.6228 2.5997
1590.0000 -0.0021 -0.1383 0.0097 2.7572 2.7829 2.8259
1600.0000 0.0203 -0.2081 0.0022 2.6935 2.7628 2.8277
1610.0000 0.0785 -0.0175 -0.0644 2.9016 2.7019 2.8205
1620.0000 0.0231 0.0163 0.0963 2.6990 2.8652 2.5244
1630.0000 0.0849 -0.0976 0.1953 2.6808 2.6355 2.7716
1640.0000 0.0561 -0.2481 0.0700 2.7877 2.8212 2.7682
1650.0000 -0.1606 -0.1518 0.1500 2.7179 2.7194 2.6350
1660.0000 -0.1528 -0.0757 0.0702 2.7227 2.6052 2.6270
1670.0000 -0.0346 -0.1838 -0.0183 2.5097 2.5918 2.6791
1680.0000 -0.0865 -0.0541 0.0120 2.6377 2.5798 2.6171
1690.0000 -0.1433 -0.1607 -0.0780 2.7989 2.6657 2.6208
